"No.","Time","Source","Destination","IP_TTL","Query_ID","Protocol","Length","Info","domain_length","QR","RCODE","Opcode","RA","Qname","DNS_TTL","QType"
"16622","2758.683490","129.173.67.123","129.173.22.38","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16627","2759.681847","129.173.67.123","129.173.5.100","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16628","2759.681875","129.173.67.123","129.173.22.37","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16629","2759.697442","129.173.67.123","129.173.5.100","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16630","2759.697470","129.173.67.123","129.173.22.37","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16641","2761.694096","129.173.67.123","129.173.22.37","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16642","2761.694127","129.173.67.123","129.173.22.38","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16643","2761.694145","129.173.67.123","129.173.5.100","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16644","2761.709695","129.173.67.123","129.173.22.37","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16645","2761.709723","129.173.67.123","129.173.22.38","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16646","2761.709743","129.173.67.123","129.173.5.100","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16656","2762.218357","129.173.22.37","129.173.67.109","62","0x3cc6","DNS","220","Standard query response 0x3cc6 A daisy.ubuntu.com A 91.189.95.55[Packet size limited during capture]","16","Message is a response","No error","Standard query","Server can do recursive queries","daisy.ubuntu.com","422","A (Host Address)"
"16668","2765.703104","129.173.67.123","129.173.22.37","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16669","2765.703137","129.173.67.123","129.173.22.38","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16670","2765.703153","129.173.67.123","129.173.5.100","128","0x4cdf","DNS","70","Standard query 0x4cdf A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16671","2765.718698","129.173.67.123","129.173.22.37","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16672","2765.718726","129.173.67.123","129.173.22.38","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16673","2765.718746","129.173.67.123","129.173.5.100","128","0xa991","DNS","70","Standard query 0xa991 A cookway.pl","10","Message is a query","","Standard query","","cookway.pl","","A (Host Address)"
"16702","2772.095406","129.173.67.123","129.173.5.100","128","0x0e47","DNS","74","Standard query 0x0e47 A coraltrough.tk","14","Message is a query","","Standard query","","coraltrough.tk","","A (Host Address)"
"16703","2772.109313","129.173.67.123","129.173.5.100","128","0x3dd2","DNS","74","Standard query 0x3dd2 A coraltrough.tk","14","Message is a query","","Standard query","","coraltrough.tk","","A (Host Address)"
"16706","2772.341252","129.173.5.100","129.173.67.123","62","0x0e47","DNS","134","Standard query response 0x0e47 No such name A coraltrough.tk SOA[Packet size limited during capture]","14","Message is a response","No such name","Standard query","Server can do recursive queries","coraltrough.tk","","A (Host Address)"
"16707","2772.341284","129.173.5.100","129.173.67.123","62","0x3dd2","DNS","134","Standard query response 0x3dd2 No such name A coraltrough.tk SOA[Packet size limited during capture]","14","Message is a response","No such name","Standard query","Server can do recursive queries","coraltrough.tk","","A (Host Address)"
"16726","2774.699585","129.173.67.123","129.173.5.100","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16727","2774.713226","129.173.67.123","129.173.5.100","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16729","2775.702226","129.173.67.123","129.173.22.37","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16730","2775.702283","129.173.67.123","129.173.22.38","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16731","2775.717773","129.173.67.123","129.173.22.37","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16732","2775.717827","129.173.67.123","129.173.22.38","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16740","2776.716159","129.173.67.123","129.173.5.100","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16741","2776.716192","129.173.67.123","129.173.22.37","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16742","2776.731693","129.173.67.123","129.173.5.100","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16743","2776.731723","129.173.67.123","129.173.22.37","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16751","2778.728409","129.173.67.123","129.173.22.37","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16752","2778.728437","129.173.67.123","129.173.22.38","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16753","2778.728553","129.173.67.123","129.173.5.100","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16754","2778.743997","129.173.67.123","129.173.22.37","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16755","2778.744028","129.173.67.123","129.173.22.38","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16756","2778.744124","129.173.67.123","129.173.5.100","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16780","2782.737404","129.173.67.123","129.173.22.37","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16781","2782.737437","129.173.67.123","129.173.22.38","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16782","2782.737452","129.173.67.123","129.173.5.100","128","0x3a11","DNS","70","Standard query 0x3a11 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16783","2782.752961","129.173.67.123","129.173.22.37","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16784","2782.752983","129.173.67.123","129.173.22.38","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16785","2782.753003","129.173.67.123","129.173.5.100","128","0x3d83","DNS","70","Standard query 0x3d83 A coredis.pl","10","Message is a query","","Standard query","","coredis.pl","","A (Host Address)"
"16786","2782.900191","129.173.67.99","129.173.22.37","64","0x0896","DNS","83","Standard query 0x0896 AAAA www.weatheroffice.gc.ca","23","Message is a query","","Standard query","","www.weatheroffice.gc.ca","","AAAA (IPv6 Address)"
"16787","2782.900779","129.173.22.37","129.173.67.99","62","0x0896","DNS","170","Standard query response 0x0896 AAAA www.weatheroffice.gc.ca CNAME[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","www.weatheroffice.gc.ca","","AAAA (IPv6 Address)"
"16788","2782.901225","129.173.67.99","129.173.22.37","64","0xf20e","DNS","83","Standard query 0xf20e A www.weatheroffice.gc.ca","23","Message is a query","","Standard query","","www.weatheroffice.gc.ca","","A (Host Address)"
"16789","2782.901677","129.173.22.37","129.173.67.99","62","0xf20e","DNS","227","Standard query response 0xf20e A www.weatheroffice.gc.ca CNAME[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","www.weatheroffice.gc.ca","","A (Host Address)"
"16800","2782.948087","129.173.67.99","129.173.22.37","64","0xd455","DNS","73","Standard query 0xd455 AAAA weather.gc.ca","13","Message is a query","","Standard query","","weather.gc.ca","","AAAA (IPv6 Address)"
"16801","2782.948897","129.173.22.37","129.173.67.99","62","0xd455","DNS","132","Standard query response 0xd455 AAAA weather.gc.ca SOA[Packet size limited during capture]","13","Message is a response","No error","Standard query","Server can do recursive queries","weather.gc.ca","","AAAA (IPv6 Address)"
"16802","2782.949294","129.173.67.99","129.173.22.37","64","0x6225","DNS","92","Standard query 0x6225 AAAA weather.gc.ca.research.cs.dal.ca","32","Message is a query","","Standard query","","weather.gc.ca.research.cs.dal.ca","","AAAA (IPv6 Address)"
"16803","2782.949892","129.173.22.37","129.173.67.99","62","0x6225","DNS","144","Standard query response 0x6225 No such name AAAA weather.gc.ca.research.cs.dal.ca[Packet size limited during capture]","32","Message is a response","No such name","Standard query","Server can do recursive queries","weather.gc.ca.research.cs.dal.ca","","AAAA (IPv6 Address)"
"16804","2782.950287","129.173.67.99","129.173.22.37","64","0xc070","DNS","83","Standard query 0xc070 AAAA weather.gc.ca.cs.dal.ca","23","Message is a query","","Standard query","","weather.gc.ca.cs.dal.ca","","AAAA (IPv6 Address)"
"16805","2782.950940","129.173.22.37","129.173.67.99","62","0xc070","DNS","127","Standard query response 0xc070 No such name AAAA weather.gc.ca.cs.dal.ca SOA[Packet size limited during capture]","23","Message is a response","No such name","Standard query","Server can do recursive queries","weather.gc.ca.cs.dal.ca","","AAAA (IPv6 Address)"
"16806","2782.951311","129.173.67.99","129.173.22.37","64","0xec48","DNS","73","Standard query 0xec48 A weather.gc.ca","13","Message is a query","","Standard query","","weather.gc.ca","","A (Host Address)"
"16807","2782.951890","129.173.22.37","129.173.67.99","62","0xec48","DNS","189","Standard query response 0xec48 A weather.gc.ca A 199.212.17.39[Packet size limited during capture]","13","Message is a response","No error","Standard query","Server can do recursive queries","weather.gc.ca","1828","A (Host Address)"
"16837","2783.162776","129.173.67.99","129.173.22.37","64","0x2bc2","DNS","73","Standard query 0x2bc2 AAAA weather.gc.ca","13","Message is a query","","Standard query","","weather.gc.ca","","AAAA (IPv6 Address)"
"16838","2783.163741","129.173.22.37","129.173.67.99","62","0x2bc2","DNS","132","Standard query response 0x2bc2 AAAA weather.gc.ca SOA[Packet size limited during capture]","13","Message is a response","No error","Standard query","Server can do recursive queries","weather.gc.ca","","AAAA (IPv6 Address)"
"16839","2783.164160","129.173.67.99","129.173.22.37","64","0xb914","DNS","92","Standard query 0xb914 AAAA weather.gc.ca.research.cs.dal.ca","32","Message is a query","","Standard query","","weather.gc.ca.research.cs.dal.ca","","AAAA (IPv6 Address)"
"16840","2783.164749","129.173.22.37","129.173.67.99","62","0xb914","DNS","144","Standard query response 0xb914 No such name AAAA weather.gc.ca.research.cs.dal.ca[Packet size limited during capture]","32","Message is a response","No such name","Standard query","Server can do recursive queries","weather.gc.ca.research.cs.dal.ca","","AAAA (IPv6 Address)"
"16841","2783.165169","129.173.67.99","129.173.22.37","64","0x5b05","DNS","83","Standard query 0x5b05 AAAA weather.gc.ca.cs.dal.ca","23","Message is a query","","Standard query","","weather.gc.ca.cs.dal.ca","","AAAA (IPv6 Address)"
"16842","2783.165735","129.173.22.37","129.173.67.99","62","0x5b05","DNS","127","Standard query response 0x5b05 No such name AAAA weather.gc.ca.cs.dal.ca SOA[Packet size limited during capture]","23","Message is a response","No such name","Standard query","Server can do recursive queries","weather.gc.ca.cs.dal.ca","","AAAA (IPv6 Address)"
"16843","2783.166131","129.173.67.99","129.173.22.37","64","0x8b83","DNS","73","Standard query 0x8b83 A weather.gc.ca","13","Message is a query","","Standard query","","weather.gc.ca","","A (Host Address)"
"16844","2783.166789","129.173.22.37","129.173.67.99","62","0x8b83","DNS","189","Standard query response 0x8b83 A weather.gc.ca A 199.212.17.28[Packet size limited during capture]","13","Message is a response","No error","Standard query","Server can do recursive queries","weather.gc.ca","1828","A (Host Address)"
"16912","2787.665818","129.173.22.37","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16913","2787.665868","129.173.22.37","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16914","2787.665882","129.173.22.37","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16915","2787.665891","129.173.22.37","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16916","2787.665899","129.173.22.37","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16917","2787.665907","129.173.22.37","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16918","2787.665915","129.173.22.37","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16919","2787.665924","129.173.22.37","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16929","2788.669354","129.173.22.38","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16930","2788.669394","129.173.22.38","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16931","2788.669409","129.173.22.38","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16932","2788.669420","129.173.22.38","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16933","2788.669428","129.173.22.38","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16934","2788.669436","129.173.22.38","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16935","2789.132823","129.173.67.123","129.173.5.100","128","0xbfbb","DNS","69","Standard query 0xbfbb A corela.pl","9","Message is a query","","Standard query","","corela.pl","","A (Host Address)"
"16936","2789.146462","129.173.67.123","129.173.5.100","128","0x0245","DNS","69","Standard query 0x0245 A corela.pl","9","Message is a query","","Standard query","","corela.pl","","A (Host Address)"
"16937","2789.168709","129.173.5.100","129.173.67.123","62","0xbfbb","DNS","126","Standard query response 0xbfbb No such name A corela.pl SOA[Packet size limited during capture]","9","Message is a response","No such name","Standard query","Server can do recursive queries","corela.pl","","A (Host Address)"
"16938","2789.168743","129.173.5.100","129.173.67.123","62","0x0245","DNS","126","Standard query response 0x0245 No such name A corela.pl SOA[Packet size limited during capture]","9","Message is a response","No such name","Standard query","Server can do recursive queries","corela.pl","","A (Host Address)"
"16945","2789.679961","129.173.5.100","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16946","2789.680018","129.173.5.100","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16947","2789.680031","129.173.5.100","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16948","2789.680039","129.173.5.100","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16949","2789.680047","129.173.5.100","129.173.67.123","62","0x4cdf","DNS","70","Standard query response 0x4cdf Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16950","2789.680054","129.173.5.100","129.173.67.123","62","0xa991","DNS","70","Standard query response 0xa991 Server failure A cookway.pl","10","Message is a response","Server failure","Standard query","Server can do recursive queries","cookway.pl","","A (Host Address)"
"16967","2791.532272","129.173.67.123","129.173.5.100","128","0x2744","DNS","87","Standard query 0x2744 A counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","A (Host Address)"
"16968","2791.546070","129.173.67.123","129.173.5.100","128","0x2ac9","DNS","87","Standard query 0x2ac9 A counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","A (Host Address)"
"16969","2791.839656","129.173.5.100","129.173.67.123","62","0x2744","DNS","256","Standard query response 0x2744 A counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","A (Host Address)"
"16970","2791.839689","129.173.5.100","129.173.67.123","62","0x2ac9","DNS","256","Standard query response 0x2ac9 A counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","A (Host Address)"
"16971","2791.840161","129.173.67.123","129.173.5.100","128","0xeec1","DNS","87","Standard query 0xeec1 AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16972","2791.840162","129.173.67.123","129.173.5.100","128","0xfdbd","DNS","87","Standard query 0xfdbd AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16975","2792.424479","129.173.67.123","129.173.5.100","128","0xfdbd","DNS","87","Standard query 0xfdbd AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16976","2792.455653","129.173.67.123","129.173.5.100","128","0xeec1","DNS","87","Standard query 0xeec1 AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16983","2793.017282","129.173.67.123","129.173.5.100","128","0xfdbd","DNS","87","Standard query 0xfdbd AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16984","2793.079624","129.173.67.123","129.173.5.100","128","0xeec1","DNS","87","Standard query 0xeec1 AAAA counter-1.adscounter.com.ua","27","Message is a query","","Standard query","","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16987","2794.024488","129.173.5.100","129.173.67.123","62","0xeec1","DNS","138","Standard query response 0xeec1 AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16988","2794.024514","129.173.5.100","129.173.67.123","62","0xfdbd","DNS","138","Standard query response 0xfdbd AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16989","2794.024526","129.173.5.100","129.173.67.123","62","0xfdbd","DNS","138","Standard query response 0xfdbd AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16990","2794.024535","129.173.5.100","129.173.67.123","62","0xeec1","DNS","138","Standard query response 0xeec1 AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16991","2794.024542","129.173.5.100","129.173.67.123","62","0xfdbd","DNS","138","Standard query response 0xfdbd AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"16992","2794.024550","129.173.5.100","129.173.67.123","62","0xeec1","DNS","138","Standard query response 0xeec1 AAAA counter-1.adscounter.com.ua[Packet size limited during capture]","27","Message is a response","No error","Standard query","Server can do recursive queries","counter-1.adscounter.com.ua","","AAAA (IPv6 Address)"
"17014","2794.497335","129.173.67.123","129.173.5.100","128","0x835a","DNS","71","Standard query 0x835a A cphub.co.uk","11","Message is a query","","Standard query","","cphub.co.uk","","A (Host Address)"
"17015","2794.510835","129.173.67.123","129.173.5.100","128","0xa8bc","DNS","71","Standard query 0xa8bc A cphub.co.uk","11","Message is a query","","Standard query","","cphub.co.uk","","A (Host Address)"
"17018","2794.638122","129.173.5.100","129.173.67.123","62","0x835a","DNS","199","Standard query response 0x835a A cphub.co.uk A 85.233.160.130[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","cphub.co.uk","86400","A (Host Address)"
"17019","2794.638146","129.173.5.100","129.173.67.123","62","0xa8bc","DNS","199","Standard query response 0xa8bc A cphub.co.uk A 85.233.160.130[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","cphub.co.uk","86400","A (Host Address)"
"17020","2794.638593","129.173.67.123","129.173.5.100","128","0xcd40","DNS","71","Standard query 0xcd40 AAAA cphub.co.uk","11","Message is a query","","Standard query","","cphub.co.uk","","AAAA (IPv6 Address)"
"17021","2794.638594","129.173.67.123","129.173.5.100","128","0x0cc8","DNS","71","Standard query 0x0cc8 AAAA cphub.co.uk","11","Message is a query","","Standard query","","cphub.co.uk","","AAAA (IPv6 Address)"
"17022","2794.746121","129.173.5.100","129.173.67.123","62","0xcd40","DNS","129","Standard query response 0xcd40 AAAA cphub.co.uk SOA[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","cphub.co.uk","","AAAA (IPv6 Address)"
"17023","2794.746137","129.173.5.100","129.173.67.123","62","0x0cc8","DNS","129","Standard query response 0x0cc8 AAAA cphub.co.uk SOA[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","cphub.co.uk","","AAAA (IPv6 Address)"
"17042","2795.040932","129.173.67.123","129.173.5.100","128","0x38a1","DNS","85","Standard query 0x38a1 A crayoncampuschildcare.com","25","Message is a query","","Standard query","","crayoncampuschildcare.com","","A (Host Address)"
"17043","2795.054480","129.173.67.123","129.173.5.100","128","0xc59e","DNS","85","Standard query 0xc59e A crayoncampuschildcare.com","25","Message is a query","","Standard query","","crayoncampuschildcare.com","","A (Host Address)"
"17047","2795.257801","129.173.5.100","129.173.67.123","62","0x38a1","DNS","160","Standard query response 0x38a1 A crayoncampuschildcare.com[Packet size limited during capture]","25","Message is a response","No error","Standard query","Server can do recursive queries","crayoncampuschildcare.com","","A (Host Address)"
"17048","2795.257825","129.173.5.100","129.173.67.123","62","0xc59e","DNS","160","Standard query response 0xc59e A crayoncampuschildcare.com[Packet size limited during capture]","25","Message is a response","No error","Standard query","Server can do recursive queries","crayoncampuschildcare.com","","A (Host Address)"
"17049","2795.258287","129.173.67.123","129.173.5.100","128","0xe4b2","DNS","85","Standard query 0xe4b2 AAAA crayoncampuschildcare.com","25","Message is a query","","Standard query","","crayoncampuschildcare.com","","AAAA (IPv6 Address)"
"17050","2795.258288","129.173.67.123","129.173.5.100","128","0xe715","DNS","85","Standard query 0xe715 AAAA crayoncampuschildcare.com","25","Message is a query","","Standard query","","crayoncampuschildcare.com","","AAAA (IPv6 Address)"
"17051","2795.357228","129.173.5.100","129.173.67.123","62","0xe4b2","DNS","169","Standard query response 0xe4b2 AAAA crayoncampuschildcare.com[Packet size limited during capture]","25","Message is a response","No error","Standard query","Server can do recursive queries","crayoncampuschildcare.com","","AAAA (IPv6 Address)"
"17052","2795.357245","129.173.5.100","129.173.67.123","62","0xe715","DNS","169","Standard query response 0xe715 AAAA crayoncampuschildcare.com[Packet size limited during capture]","25","Message is a response","No error","Standard query","Server can do recursive queries","crayoncampuschildcare.com","","AAAA (IPv6 Address)"
"17077","2796.032277","129.173.67.123","129.173.5.100","128","0xe2e2","DNS","75","Standard query 0xe2e2 A crazyhtumnet.ru","15","Message is a query","","Standard query","","crazyhtumnet.ru","","A (Host Address)"
"17078","2796.045985","129.173.67.123","129.173.5.100","128","0x795b","DNS","75","Standard query 0x795b A crazyhtumnet.ru","15","Message is a query","","Standard query","","crazyhtumnet.ru","","A (Host Address)"
"17080","2796.067010","129.173.5.100","129.173.67.123","62","0xe2e2","DNS","136","Standard query response 0xe2e2 No such name A crazyhtumnet.ru SOA[Packet size limited during capture]","15","Message is a response","No such name","Standard query","Server can do recursive queries","crazyhtumnet.ru","","A (Host Address)"
"17081","2796.067035","129.173.5.100","129.173.67.123","62","0x795b","DNS","136","Standard query response 0x795b No such name A crazyhtumnet.ru SOA[Packet size limited during capture]","15","Message is a response","No such name","Standard query","Server can do recursive queries","crazyhtumnet.ru","","A (Host Address)"
"17108","2798.397295","129.173.22.37","129.173.67.100","62","0x30b1","DNS","220","Standard query response 0x30b1 A daisy.ubuntu.com A 91.189.95.54[Packet size limited during capture]","16","Message is a response","No error","Standard query","Server can do recursive queries","daisy.ubuntu.com","386","A (Host Address)"
"17109","2798.397637","129.173.22.37","129.173.67.109","62","0x8201","DNS","220","Standard query response 0x8201 A daisy.ubuntu.com A 91.189.95.55[Packet size limited during capture]","16","Message is a response","No error","Standard query","Server can do recursive queries","daisy.ubuntu.com","386","A (Host Address)"
"17110","2798.421813","129.173.67.123","129.173.5.100","128","0x985f","DNS","77","Standard query 0x985f A creditproducti.su","17","Message is a query","","Standard query","","creditproducti.su","","A (Host Address)"
